proxy_id,overlap_class,new_deployment_information,algebraic_reparameterization,overlap_with_existing_110d,overlap_with_ddo02b,eligible_as_route_b_incremental_information,status,evidence_class
P3_ORTHOGONAL_SQUARED_PRESSURE_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_PRESSURE_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_PRESSURE_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_ORTHOGONAL_SQUARED_PRESSURE_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_PRESSURE_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_0p75_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_0p75_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_0p75_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_SIGNED_CROSS_PRESSURE_0p75_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_SIGNED_CROSS_PRESSURE_0p75_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_1p25_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_1p25_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_SIGNED_CROSS_PRESSURE_1p25_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_1p50_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_SUPPORT_COV_PRESSURE_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_SUPPORT_COV_PRESSURE_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_SUPPORT_COV_PRESSURE_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_LOCAL_DV_SECOND_PRESSURE_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_LOCAL_DV_SECOND_PRESSURE_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_LOCAL_DV_SECOND_PRESSURE_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_VISCOSITY_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_VISCOSITY_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_VISCOSITY_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_VISCOSITY_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_ORTHOGONAL_SQUARED_VISCOSITY_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_VISCOSITY_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_VISCOSITY_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_VISCOSITY_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_VISCOSITY_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_VISCOSITY_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_ORTHOGONAL_SQUARED_VISCOSITY_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_VISCOSITY_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_VISCOSITY_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_VISCOSITY_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_VISCOSITY_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_VISCOSITY_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_ORTHOGONAL_SQUARED_VISCOSITY_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_VISCOSITY_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_VISCOSITY_0p75_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_VISCOSITY_0p75_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_VISCOSITY_0p75_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_SIGNED_CROSS_VISCOSITY_0p75_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_SIGNED_CROSS_VISCOSITY_0p75_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_VISCOSITY_1p25_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_VISCOSITY_1p25_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_SIGNED_CROSS_VISCOSITY_1p25_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_VISCOSITY_1p50_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_SUPPORT_COV_VISCOSITY_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_SUPPORT_COV_VISCOSITY_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_SUPPORT_COV_VISCOSITY_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_LOCAL_DV_SECOND_VISCOSITY_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_LOCAL_DV_SECOND_VISCOSITY_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_LOCAL_DV_SECOND_VISCOSITY_1p50,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_TRACE_SUPPORT_COV,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_DEVIATORIC_SUPPORT_COV,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_TRACE_LOCAL_DV_SECOND,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_DEVIATORIC_LOCAL_DV_SECOND,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P5_NONBASE_SUPPORT_ANISOTROPY_UNAVAILABLE,NEW_DEPLOYMENT_INFORMATION,True,False,NEW_DEPLOYMENT_INFORMATION,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,NOT_AVAILABLE_AT_DEPLOYMENT,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
