proxy_id,proxy_class,component,input_feature_names,missing_input_feature_names,deterministic_operation,deployment_available,o2_parity,zero_semantics,output_dimension,status,evidence_class
P2_SIGNED_CROSS_PRESSURE_0p75_1p25,P2_CROSS_SCALE_GRAM,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y""]",[],CROSS,True,O2_PSEUDOSCALAR_REFLECTION_ODD,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_SIGNED_CROSS_PRESSURE_0p75_1p50,P2_CROSS_SCALE_GRAM,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y""]",[],CROSS,True,O2_PSEUDOSCALAR_REFLECTION_ODD,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_1p25_1p25,P2_CROSS_SCALE_GRAM,pressure_gradient_acceleration,"[""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y"", ""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_1p25_1p50,P2_CROSS_SCALE_GRAM,pressure_gradient_acceleration,"[""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y"", ""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_SIGNED_CROSS_PRESSURE_1p25_1p50,P2_CROSS_SCALE_GRAM,pressure_gradient_acceleration,"[""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y"", ""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y""]",[],CROSS,True,O2_PSEUDOSCALAR_REFLECTION_ODD,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_1p50_1p50,P2_CROSS_SCALE_GRAM,pressure_gradient_acceleration,"[""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y"", ""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_SUPPORT_COV_PRESSURE_0p75,P4_TENSOR_SCALE_RESPONSE_CONTRACTIONS,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__base_cov_xx_over_h2"", ""obs__base_cov_xy_over_h2"", ""obs__base_cov_yy_over_h2""]",[],VECTOR_TENSOR_VECTOR,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_SUPPORT_COV_PRESSURE_1p25,P4_TENSOR_SCALE_RESPONSE_CONTRACTIONS,pressure_gradient_acceleration,"[""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y"", ""obs__base_cov_xx_over_h2"", ""obs__base_cov_xy_over_h2"", ""obs__base_cov_yy_over_h2""]",[],VECTOR_TENSOR_VECTOR,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_SUPPORT_COV_PRESSURE_1p50,P4_TENSOR_SCALE_RESPONSE_CONTRACTIONS,pressure_gradient_acceleration,"[""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y"", ""obs__base_cov_xx_over_h2"", ""obs__base_cov_xy_over_h2"", ""obs__base_cov_yy_over_h2""]",[],VECTOR_TENSOR_VECTOR,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_LOCAL_DV_SECOND_PRESSURE_0p75,P4_TENSOR_SCALE_RESPONSE_CONTRACTIONS,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__local_dv_second_xx"", ""obs__local_dv_second_xy"", ""obs__local_dv_second_yy""]",[],VECTOR_TENSOR_VECTOR,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_LOCAL_DV_SECOND_PRESSURE_1p25,P4_TENSOR_SCALE_RESPONSE_CONTRACTIONS,pressure_gradient_acceleration,"[""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y"", ""obs__local_dv_second_xx"", ""obs__local_dv_second_xy"", ""obs__local_dv_second_yy""]",[],VECTOR_TENSOR_VECTOR,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P4_VTV_LOCAL_DV_SECOND_PRESSURE_1p50,P4_TENSOR_SCALE_RESPONSE_CONTRACTIONS,pressure_gradient_acceleration,"[""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y"", ""obs__local_dv_second_xx"", ""obs__local_dv_second_xy"", ""obs__local_dv_second_yy""]",[],VECTOR_TENSOR_VECTOR,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_VISCOSITY_0p75,P1_VECTOR_SCALE_RESPONSES,viscosity_laplacian_acceleration,"[""obs__delta_L_0p75__viscosity_acceleration_x"", ""obs__delta_L_0p75__viscosity_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_VISCOSITY_0p75,P1_VECTOR_SCALE_RESPONSES,viscosity_laplacian_acceleration,"[""obs__G_0p75__viscosity_acceleration_x"", ""obs__G_0p75__viscosity_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_VISCOSITY_0p75,P3_BASE_OPERATOR_ALIGNMENT,viscosity_laplacian_acceleration,"[""obs__delta_L_0p75__viscosity_acceleration_x"", ""obs__delta_L_0p75__viscosity_acceleration_y"", ""obs__L_1p00__viscosity_acceleration_x"", ""obs__L_1p00__viscosity_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_VISCOSITY_0p75,P3_BASE_OPERATOR_ALIGNMENT,viscosity_laplacian_acceleration,"[""obs__delta_L_0p75__viscosity_acceleration_x"", ""obs__delta_L_0p75__viscosity_acceleration_y"", ""obs__L_1p00__viscosity_acceleration_x"", ""obs__L_1p00__viscosity_acceleration_y""]",[],PARALLEL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_ORTHOGONAL_SQUARED_VISCOSITY_0p75,P3_BASE_OPERATOR_ALIGNMENT,viscosity_laplacian_acceleration,"[""obs__delta_L_0p75__viscosity_acceleration_x"", ""obs__delta_L_0p75__viscosity_acceleration_y"", ""obs__L_1p00__viscosity_acceleration_x"", ""obs__L_1p00__viscosity_acceleration_y""]",[],ORTHOGONAL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_VISCOSITY_0p75,P3_BASE_OPERATOR_ALIGNMENT,viscosity_laplacian_acceleration,"[""obs__delta_L_0p75__viscosity_acceleration_x"", ""obs__delta_L_0p75__viscosity_acceleration_y"", ""obs__L_1p00__viscosity_acceleration_x"", ""obs__L_1p00__viscosity_acceleration_y""]",[],NORM_RATIO,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_VISCOSITY_1p25,P1_VECTOR_SCALE_RESPONSES,viscosity_laplacian_acceleration,"[""obs__delta_L_1p25__viscosity_acceleration_x"", ""obs__delta_L_1p25__viscosity_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_VISCOSITY_1p25,P1_VECTOR_SCALE_RESPONSES,viscosity_laplacian_acceleration,"[""obs__G_1p25__viscosity_acceleration_x"", ""obs__G_1p25__viscosity_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_VISCOSITY_1p25,P3_BASE_OPERATOR_ALIGNMENT,viscosity_laplacian_acceleration,"[""obs__delta_L_1p25__viscosity_acceleration_x"", ""obs__delta_L_1p25__viscosity_acceleration_y"", ""obs__L_1p00__viscosity_acceleration_x"", ""obs__L_1p00__viscosity_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_VISCOSITY_1p25,P3_BASE_OPERATOR_ALIGNMENT,viscosity_laplacian_acceleration,"[""obs__delta_L_1p25__viscosity_acceleration_x"", ""obs__delta_L_1p25__viscosity_acceleration_y"", ""obs__L_1p00__viscosity_acceleration_x"", ""obs__L_1p00__viscosity_acceleration_y""]",[],PARALLEL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_ORTHOGONAL_SQUARED_VISCOSITY_1p25,P3_BASE_OPERATOR_ALIGNMENT,viscosity_laplacian_acceleration,"[""obs__delta_L_1p25__viscosity_acceleration_x"", ""obs__delta_L_1p25__viscosity_acceleration_y"", ""obs__L_1p00__viscosity_acceleration_x"", ""obs__L_1p00__viscosity_acceleration_y""]",[],ORTHOGONAL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_VISCOSITY_1p25,P3_BASE_OPERATOR_ALIGNMENT,viscosity_laplacian_acceleration,"[""obs__delta_L_1p25__viscosity_acceleration_x"", ""obs__delta_L_1p25__viscosity_acceleration_y"", ""obs__L_1p00__viscosity_acceleration_x"", ""obs__L_1p00__viscosity_acceleration_y""]",[],NORM_RATIO,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_VISCOSITY_1p50,P1_VECTOR_SCALE_RESPONSES,viscosity_laplacian_acceleration,"[""obs__delta_L_1p50__viscosity_acceleration_x"", ""obs__delta_L_1p50__viscosity_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_VISCOSITY_1p50,P1_VECTOR_SCALE_RESPONSES,viscosity_laplacian_acceleration,"[""obs__G_1p50__viscosity_acceleration_x"", ""obs__G_1p50__viscosity_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_VISCOSITY_1p50,P3_BASE_OPERATOR_ALIGNMENT,viscosity_laplacian_acceleration,"[""obs__delta_L_1p50__viscosity_acceleration_x"", ""obs__delta_L_1p50__viscosity_acceleration_y"", ""obs__L_1p00__viscosity_acceleration_x"", ""obs__L_1p00__viscosity_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_VISCOSITY_1p50,P3_BASE_OPERATOR_ALIGNMENT,viscosity_laplacian_acceleration,"[""obs__delta_L_1p50__viscosity_acceleration_x"", ""obs__delta_L_1p50__viscosity_acceleration_y"", ""obs__L_1p00__viscosity_acceleration_x"", ""obs__L_1p00__viscosity_acceleration_y""]",[],PARALLEL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
