mechanism_id,diagnostic_class,component,direction,result,supporting_fold_count,supporting_family_count,source,claim_boundary,status,evidence_class
F-MS4,PROXY_CLASS_ASSOCIATION_CONTRAST,ALL,SUPPORT,density_best=P4_TENSOR_SCALE_RESPONSE_CONTRACTIONS;momentum_best=P1_VECTOR_SCALE_RESPONSES,,,directional_proxy_target_alignment.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS4,FIXED_G4_ABLATION_COMPONENT_CONTRAST,ALL,SUPPORT,leave_G4_out_improves_pressure_and_viscosity_6/6_folds_4/4_families_but_density_2/6_1/4,6/6 momentum; 2/6 density,4/4 momentum; 1/4 density,fixed_feature_group_ablation.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS5,DISTANCE_CONCENTRATION_AND_LOCAL_RANDOM_SEPARATION,ALL,SUPPORT_PARTIAL,concentration_index=224.36712106005666->217.34710969103776;k10_random_ratio=0.002325489855327127->0.00929723741062847,,,ss_ms_geometry_diagnostics.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS5,HUBNESS,ALL,SUPPORT_PARTIAL,skew=1.631850782075731->2.149326178376823;gini=0.41017624851730133->0.44163864950339,,,ss_ms_geometry_diagnostics.csv|hubness_audit.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS5,SS_TO_MS_NEIGHBOUR_TURNOVER,ALL,SUPPORT_PARTIAL,mean_turnover=0.39579467773437504,,,neighbour_turnover_audit.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS5,REVERSE_EVIDENCE,DENSITY_AND_ALL,LIMITS_TO_PARTIAL,semantic_group_domination=1.0->0.6831370284293785;density_succeeds,,,ss_ms_geometry_diagnostics.csv|canonical_result_identity_audit.json,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS6,ORACLE_GAIN_REPLICATION,pressure_gradient_acceleration,SUPPORT,oracle_MS_over_SS=0.49688465232622436,6/6,4/4,oracle_gain_stratum_map.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS6,LOCAL_CANDIDATE_C_NONRESCUE,pressure_gradient_acceleration,SUPPORT,candidate_MS_over_SS=0.99114151683228957,,,candidate_c_wn_wb_decomposition.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS6,LOCAL_CVAR_NONRESCUE,pressure_gradient_acceleration,SUPPORT,cvar_MS_over_SS=1.0456141397842045,,,cvar_stratum_decomposition.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS6,ORACLE_GAIN_REPLICATION,viscosity_laplacian_acceleration,SUPPORT,oracle_MS_over_SS=0.40147464327666277,6/6,4/4,oracle_gain_stratum_map.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS6,LOCAL_CANDIDATE_C_NONRESCUE,viscosity_laplacian_acceleration,SUPPORT,candidate_MS_over_SS=0.97871800930320751,,,candidate_c_wn_wb_decomposition.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS6,LOCAL_CVAR_NONRESCUE,viscosity_laplacian_acceleration,SUPPORT,cvar_MS_over_SS=1.0268835551148163,,,cvar_stratum_decomposition.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS6,FORMAL_COVERAGE_GUARD,PRESSURE_AND_VISCOSITY,SUPPORT,formal_coverage_passes_and_cannot_substitute_for_identifiability,,,ambiguity_vs_coverage.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS6,INSIDE_COVERAGE_OPERATIONAL_AMBIGUITY,PRESSURE_AND_VISCOSITY,SUPPORT,all_observed_MS_momentum_near_collisions_are_inside_coverage,,,ambiguity_vs_coverage.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS6,DENSITY_POSITIVE_CONTROL_CONTRAST,ALL,SUPPORT,density_Candidate_C_CVAR_and_oracle_all_improve_while_momentum_local_metrics_do_not,,,canonical_result_identity_audit.json,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
