scope,arm,component,family,mechanism,classification,evidence_count,query_count,evidence,analytical_symmetry_subtype
ARM_COMPONENT_FAMILY,SS,density_rate,F3,M2d,NOT_SUPPORTED,0,1,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,density_rate,F4,M2a,INCONCLUSIVE,0,0,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,density_rate,F4,M2b,INCONCLUSIVE,0,0,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,density_rate,F4,M2c,INCONCLUSIVE,0,0,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,density_rate,F4,M2d,INCONCLUSIVE,0,0,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F1,M2a,SUPPORTED,25,25,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F1,M2b,NOT_SUPPORTED,0,25,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F1,M2c,SUPPORTED,25,25,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F1,M2d,NOT_SUPPORTED,0,25,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F2,M2a,SUPPORTED,45,45,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F2,M2b,NOT_SUPPORTED,0,45,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F2,M2c,SUPPORTED,45,45,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F2,M2d,NOT_SUPPORTED,0,45,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F3,M2a,SUPPORTED,37,37,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F3,M2b,NOT_SUPPORTED,0,37,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F3,M2c,SUPPORTED,37,37,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F3,M2d,NOT_SUPPORTED,0,37,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F4,M2a,SUPPORTED,12,12,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F4,M2b,NOT_SUPPORTED,0,12,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F4,M2c,SUPPORTED,10,12,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,pressure_gradient_acceleration,F4,M2d,SUPPORTED,2,12,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F1,M2a,INCONCLUSIVE,0,0,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F1,M2b,INCONCLUSIVE,0,0,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F1,M2c,INCONCLUSIVE,0,0,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F1,M2d,INCONCLUSIVE,0,0,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F2,M2a,SUPPORTED,1,1,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F2,M2b,NOT_SUPPORTED,0,1,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F2,M2c,SUPPORTED,1,1,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F2,M2d,NOT_SUPPORTED,0,1,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F3,M2a,SUPPORTED,1,1,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F3,M2b,NOT_SUPPORTED,0,1,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F3,M2c,SUPPORTED,1,1,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F3,M2d,NOT_SUPPORTED,0,1,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F4,M2a,INCONCLUSIVE,0,0,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F4,M2b,INCONCLUSIVE,0,0,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F4,M2c,INCONCLUSIVE,0,0,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,viscosity_laplacian_acceleration,F4,M2d,INCONCLUSIVE,0,0,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,density_rate,F1,M2a,INCONCLUSIVE,0,0,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,density_rate,F1,M2b,INCONCLUSIVE,0,0,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,density_rate,F1,M2c,INCONCLUSIVE,0,0,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,density_rate,F1,M2d,INCONCLUSIVE,0,0,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,density_rate,F2,M2a,SUPPORTED,1,1,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,density_rate,F2,M2b,NOT_SUPPORTED,0,1,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,density_rate,F2,M2c,SUPPORTED,1,1,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,density_rate,F2,M2d,NOT_SUPPORTED,0,1,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,density_rate,F3,M2a,SUPPORTED,1,1,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,density_rate,F3,M2b,NOT_SUPPORTED,0,1,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,density_rate,F3,M2c,SUPPORTED,1,1,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,density_rate,F3,M2d,NOT_SUPPORTED,0,1,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,density_rate,F4,M2a,INCONCLUSIVE,0,0,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,density_rate,F4,M2b,INCONCLUSIVE,0,0,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,density_rate,F4,M2c,INCONCLUSIVE,0,0,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,density_rate,F4,M2d,INCONCLUSIVE,0,0,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F1,M2a,SUPPORTED,25,25,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F1,M2b,NOT_SUPPORTED,0,25,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F1,M2c,SUPPORTED,25,25,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F1,M2d,NOT_SUPPORTED,0,25,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F2,M2a,SUPPORTED,45,45,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F2,M2b,NOT_SUPPORTED,0,45,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F2,M2c,SUPPORTED,45,45,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F2,M2d,NOT_SUPPORTED,0,45,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F3,M2a,SUPPORTED,37,37,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F3,M2b,NOT_SUPPORTED,0,37,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F3,M2c,SUPPORTED,37,37,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F3,M2d,NOT_SUPPORTED,0,37,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F4,M2a,SUPPORTED,12,12,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F4,M2b,NOT_SUPPORTED,0,12,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F4,M2c,SUPPORTED,12,12,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,pressure_gradient_acceleration,F4,M2d,NOT_SUPPORTED,0,12,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F1,M2a,INCONCLUSIVE,0,0,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F1,M2b,INCONCLUSIVE,0,0,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F1,M2c,INCONCLUSIVE,0,0,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F1,M2d,INCONCLUSIVE,0,0,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F2,M2a,SUPPORTED,1,1,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F2,M2b,NOT_SUPPORTED,0,1,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F2,M2c,SUPPORTED,1,1,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F2,M2d,NOT_SUPPORTED,0,1,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F3,M2a,SUPPORTED,1,1,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F3,M2b,NOT_SUPPORTED,0,1,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F3,M2c,SUPPORTED,1,1,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F3,M2d,NOT_SUPPORTED,0,1,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F4,M2a,INCONCLUSIVE,0,0,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F4,M2b,INCONCLUSIVE,0,0,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F4,M2c,INCONCLUSIVE,0,0,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,MS,viscosity_laplacian_acceleration,F4,M2d,INCONCLUSIVE,0,0,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
